listing_id,Building_Name,Property_Sub_Type,Property_Type,Year_Built
1667434,,Single Family Residence,Residential,1934
1662387,Ballard Acre Tracts,Single Family Residence,Residential,1910
1666408,,Townhouse,Residential,2001
1658634,Belvedere Terrace,Single Family Residence,Residential,2016
1666467,Moses Add Moses Add Moses Add,Townhouse,Residential,2009
1662438,Green Lake Circle Railroad Add,Single Family Residence,Residential,1916
1667507,Paramount Park Add,Single Family Residence,Residential,1955
1663615,,Townhouse,Residential,2020
1671057,,Single Family Residence,Residential,1902
1670824,,Single Family Residence,Residential,1958
1669457,,Single Family Residence,Residential,1926
1675987,,Single Family Residence,Residential,2017
1669711,Kinnear Park,Condominium,Residential,1982
1667070,,Single Family Residence,Residential,1955
1669844,Winona Park Add,Single Family Residence,Residential,1925
1669532,Bolero,Condominium,Residential,2001
1665400,Magnolia Heights Add,Single Family Residence,Residential,1953
1671107,Highland View Add,Townhouse,Residential,2008
1668871,Regata,Condominium,Residential,2002
1666693,,Single Family Residence,Residential,1959
1662969,,Single Family Residence,Residential,1920
1661261,Gatewood Gardens,Single Family Residence,Residential,1937
1661997,,Single Family Residence,Residential,1942
1662710,Mcallisters,Townhouse,Residential,1930
1666495,Little City Farms Div,Single Family Residence,Residential,1925
1669385,,Single Family Residence,Residential,1920
1671065,,Single Family Residence,Residential,1929
1664522,Trace North,Condominium,Residential,2007
1669243,,Single Family Residence,Residential,1907
1669834,,Single Family Residence,Residential,1953
1666744,,Single Family Residence,Residential,2007
1669893,,Single Family Residence,Residential,1944
1615157,The Decatur,Condominium,Residential,1950
1669688,View Ridge Div 07,Single Family Residence,Residential,2017
1660707,,Single Family Residence,Residential,1951
1671183,,Single Family Residence,Residential,1925
1670138,Meridian,Condominium,Residential,2002
1666068,Olive 8,Condominium,Residential,2009
1664077,Magnuson 8,Condominium,Residential,2016
1665039,Sturtevants Home Garden Trs,Single Family Residence,Residential,1911
1665018,,Single Family Residence,Residential,1948
1664751,,Single Family Residence,Residential,1950
1666305,Landings Lake Union,Condominium,Residential,2000
1670128,Landings Lake Union,Condominium,Residential,2000
1671210,,Single Family Residence,Residential,1924
1661592,,Townhouse,Residential,2020
1669814,,Townhouse,Residential,1976
1670286,,Single Family Residence,Residential,1946
1670010,,Townhouse,Residential,2014
1666847,,Townhouse,Residential,2004
1670033,,Single Family Residence,Residential,1925
1661205,Andiamo Condominiums,Condominium,Residential,1996
1671148,Seventeen07,Condominium,Residential,1965
1653401,Bothwells Rep Of Spring Brook,Single Family Residence,Residential,1986
1670981,,Single Family Residence,Residential,1917
1664076,,Townhouse,Residential,2016
1665920,,Townhouse,Residential,2004
1664400,Lewis And Fehrens,Single Family Residence,Residential,1985
1664560,Lake Union Add,Townhouse,Residential,2013
1665537,,Single Family Residence,Residential,1926
1663331,Steel Works Addition,Single Family Residence,Residential,1957
1670964,,Single Family Residence,Residential,1926
1671518,,Townhouse,Residential,2020
1671124,,Single Family Residence,Residential,1985
1661656,,Single Family Residence,Residential,1928
1670021,Luma Condominiums,Condominium,Residential,2016
1656146,Royal Manor,Condominium,Residential,1970
1655048,State Add To Seattle 04,Single Family Residence,Residential,1951
1670454,,Condominium,Residential,1998
1670202,Pacific Coast Add,Single Family Residence,Residential,2015
1667837,Sea View Addition,Single Family Residence,Residential,1936
1667811,,Single Family Residence,Residential,1921
1670170,23rd & Main,Condominium,Residential,2000
1670423,Portofino,Condominium,Residential,1919
1671480,Ocean View Condominiums,Condominium,Residential,1990
1670233,Henderson Place,Condominium,Residential,1960
1670469,Regata,Condominium,Residential,2002
1669763,,Single Family Residence,Residential,1912
1667631,,Townhouse,Residential,1948
1667642,Belmont Lofts,Condominium,Residential,1989
1669923,Lovell Add 05,Single Family Residence,Residential,1953
1670576,Harbor Heights,Condominium,Residential,1980
1670298,Ballard,Single Family Residence,Residential,2017
1670329,,Townhouse,Residential,2020
1670377,,Townhouse,Residential,2008
1667060,Broadmoor,Single Family Residence,Residential,1928
1670514,Maison Jiselle,Condominium,Residential,1928
1670473,,Single Family Residence,Residential,2020
1666481,Petersons Add Less St,Single Family Residence,Residential,1906
1670354,Midtown Condos,Condominium,Residential,1969
1670323,Toscano,Condominium,Residential,1999
1675193,The Meridian,Condominium,Residential,2002
1670303,,Single Family Residence,Residential,1908
1675193,The Meridian,Condominium,Residential,2002
1667144,,Townhouse,Residential,2008
1667466,Grandview Condo Of Seattle,Condominium,Residential,1979
1671384,Cedar Grove Add,Condominium,Residential,2008
1670305,Frances Fremont,Condominium,Residential,1969
1670353,,Single Family Residence,Residential,1904
