listing_id,Lot_Size_Acres,Lot_Size_Square_Feet,Lot_Size_Units,Parking_Total
1669688,0.1381,6014,Square Feet,2
1660707,0.1297,5650,Square Feet,
1671183,0.0937,4080,Square Feet,1
1670138,,,Square Feet,1
1666068,,,Square Feet,1
1664077,,,,1
1665039,0.1545,6731,Square Feet,
1665018,0.1458,6350,Square Feet,2
1664751,0.3554,15483,Square Feet,2
1666305,,,Square Feet,2
1670128,0.3214,14000,Square Feet,2
1671210,0.049,2135,Square Feet,1
1661592,0.0253,1100,Square Feet,
1669814,0.0341,1484,Square Feet,1
1670286,0.1139,4960,Square Feet,1
1670010,0.0251,1093,Square Feet,
1666847,0.0214,932,Square Feet,1
1670033,0.1153,5023,Square Feet,
1661205,,,,1
1671148,,,Square Feet,2
1653401,0.1093,4763,Square Feet,2
1670981,0.1171,5100,Square Feet,1
1664076,0.0319,1390,Square Feet,1
1665920,0.0292,1274,Square Feet,1
1664400,0.1313,5720,Square Feet,2
1664560,0.0324,1410,Square Feet,
1665537,0.132,5750,Square Feet,1
1663331,0.1474,6421,Square Feet,2
1670964,0.0716,3120,Square Feet,
1671518,0.016,697,Square Feet,1
1671124,0.0882,3844,Square Feet,1
1661656,0.068,2960,Square Feet,1
1670021,,,Square Feet,1
1656146,,,Square Feet,1
1655048,0.1225,5334,Square Feet,2
1670454,,,,2
1670202,0.0779,3395,Square Feet,4
1667837,0.1377,6000,Square Feet,1
1667811,0.1157,5040,Square Feet,1
1670170,,,Square Feet,2
1670423,,,Square Feet,1
1671480,0.0145,630,Square Feet,1
1670233,0.319,13896,Square Feet,2
1670469,,,Square Feet,2
1669763,0.1019,4440,Square Feet,
1667631,0.0334,1454,Square Feet,
1667642,,,Square Feet,1
1669923,0.1492,6500,Square Feet,2
1670576,,,Square Feet,1
1670298,0.1148,5000,Square Feet,2
1670329,0.015,654,Square Feet,
1670377,0.0243,1059,Square Feet,1
1667060,0.2491,10850,Square Feet,1
1670514,,,Square Feet,
1670473,0.1055,4597,Square Feet,3
1666481,0.1125,4900,Square Feet,2
1670354,,,Square Feet,1
1670323,0.3129,13630,Square Feet,2
1675193,,,Square Feet,2
1670303,0.1149,5003,Square Feet,1
1675193,,,Square Feet,2
1667144,0.0245,1067,Square Feet,1
1667466,,,Square Feet,1
1671384,0.0413,1798,Square Feet,1
1670305,0.2295,9995,Square Feet,1
1670353,0.0568,2476,Square Feet,2
