house_id,beds,baths,living_area,house_type,year_built,heating,cooling,parking,price,price_per_sqft
36725918,2,2,"1,120",Single Family,1988,"Heat pump, Electric",Central,No Data,"$225,000",$201
7505371,2,1,500,Single Family,1946,Electric,Evaporative,4 spaces,"$190,000",$380
452861,4,3,"1,855",Single Family,1936,"Other, Other",Central,4 spaces,"$895,000",$482
20642095,2,1,"3,455",Multiple Occupancy,1920,Wall,No Data,4 spaces,"$1,000,000",$289
55144589,3,2,"1,604",Single Family,1986,"None, Forced air",Central,2 spaces,"$260,000",$162
2077641307,3,3,"1,600",Townhouse,2020,Forced air,Central,No Data,"$1,698,800","$1,062"
83124292,2,3,"1,975",Condo,2008,"Forced air, Electric, Gas",Central,2 spaces,"$474,900",$240
43691351,3,3,"2,060",Single Family,1989,"Forced air, Heat pump",Central,2 spaces,"$300,000",$146
7511689,4,3,"1,361",Single Family,1946,"Other, Electric",Refrigerator,4 spaces,"$210,000",$154
82300060,2,2,977,Condo,2007,Forced air,Central,2 spaces,"$724,500",$742
36726977,3,3,"1,730",Single Family,1988,"Forced air, Electric, Gas",Central,2 spaces,"$349,900",$202
2078363717,4,6,"4,214",Single Family,1999,"Forced air, Electric, Gas",Central,3 spaces,"$3,255,500",$773
3591973,3,1,"1,158",Single Family,1961,Gas,Central,2 spaces,"$298,700",$258
26994346,4,3,"2,264",Single Family,1968,Forced air,Central,2 spaces,"$575,000",$254
20802121,4,4,"2,464",Single Family,1975,Forced air,Central,4 spaces,"$2,375,000",$964
110709652,4,2,"2,035",Single Family,1957,"Forced air, Gas",Central,3 spaces,"$274,900",$135
29336613,5,6,"10,730",Single Family,1999,Forced air,Central,3 spaces,"$1,785,000",$166
3593209,3,3,"1,150",Single Family,1963,"Forced air, Gas",Central,2 spaces,"$259,000",$225
2091594414,2,3,"1,763",Townhouse,2017,Forced air,Central,2 spaces,"$1,575,000",$893
81991571,--,--,818,Multiple Occupancy,1969,Forced air,Central,1 space,"$775,000",$947
27338350,3,2.1,"2,743",Single Family,1985,"Forced air, Gas",Central,2 spaces,"$395,000",$144
53737274,5,4,"3,335",Single Family,2001,"Forced air, Electric",Central,2 spaces,"$429,900",$129
26802279,3,1,"1,000",Single Family,1956,Gas,Wall,No Data,"$145,000",$145
17016580,3,2,"1,100",Single Family,1931,Gas,No Data,3 spaces,"$467,900",$425
60200173,2,1,950,Condo,1975,"Baseboard, Gas",Refrigerator,1 space,"$128,950",$136
69669981,4,3,"2,920",Single Family,2005,Forced air,Central,2 spaces,"$238,000",$82
26816620,2,1,758,Single Family,1956,Forced air,Other,1 space,"$125,000",$165
20793195,2,2,996,Condo,1964,Forced air,Central,2 spaces,"$659,000",$662
70465537,2,2,"1,100",Condo,2003,"Forced air, Gas",Central,1 space,"$359,900",$327
20643834,2,2,813,Condo,1982,Other,Central,2 spaces,"$375,000",$461
110750322,3,2,"2,276",Single Family,1955,"Forced air, Gas",Central,4 spaces,"$369,900",$163
55406002,2,2,"1,416",Condo,1992,"Forced air, Gas",Central,1 space,"$357,000",$252
7511108,3,2,"1,300",Single Family,1946,Other,Refrigeration,2 spaces,"$239,900",$185
50903650,4,3,"2,500",Single Family,1999,Forced air,Central,2 spaces,"$1,585,000",$634
20691214,2,1,822,Single Family,1938,Wall,Other,No Data,"$700,000",$852
15143256,--,1,621,Condo,1983,Baseboard,No Data,No Data,"$649,000","$1,045"
251031652,2,3,"2,188",Condo,2017,"Forced air, Electric, Gas",Central,2 spaces,"$639,000",$292
55398332,5,5,"3,015",Multiple Occupancy,1889,"Other, Gas",None,No Data,"$525,000",$174
110700901,4,5,"2,230",Single Family,1950,"Forced air, Gas",Central,2 spaces,"$289,900",$130
70747509,4,3,"2,527",Single Family,2005,"Forced air, Electric",Central,3 spaces,"$415,000",$164
20642448,6,3,"2,232",Multiple Occupancy,1959,Wall,Wall,No Data,"$1,549,000",$694
63703850,2,2,"1,250",Condo,2001,"Forced air, Gas",Central,1 space,"$249,500",$200
19557711,2,1,853,Condo,1978,Forced air,Central,No Data,"$650,000",$762
458775,6,6,"8,035",Single Family,2020,Forced air,Central,2 spaces,"$2,799,000",$348
118189181,3,2,"1,144",Single Family,2020,Heat pump,Central,1 space,"$359,500",$314
27323556,3,2,"1,512",Single Family,1979,Forced air,Central,2 spaces,"$250,000",$165
110704145,3,3,"1,092",Single Family,1950,"Forced air, Gas",Central,2 spaces,"$244,000",$223
61122517,1,1,713,Condo,2003,Heat pump,Central,Attached Garage,"$239,900",$336
71481806,1,2,"1,730",Condo,2004,Forced air,Central,1 space,"$549,900",$318
27329279,3,2,"1,592",Single Family,1974,"Forced air, Heat pump",Central,No Data,"$285,000",$179
20793210,2,2,"1,009",Condo,1964,"None, Forced air",Central,2 spaces,"$800,000",$793
2104378637,2,2,"1,295",Condo,2013,Forced air,Other,2 spaces,"$235,000",$181
3591765,4,2,"1,200",Single Family,1959,Gas,Central,7 spaces,"$261,068",
19600792,3,2,"1,825",Condo,1979,"Forced air, Gas",Central,2 spaces,"$1,325,000",$726
3860868,4,4,"3,000",Single Family,1892,"Forced air, Gas",Central,2 spaces,"$750,000",$250
17043835,4,2,"1,540",Single Family,2013,Forced air,Central,9 spaces,"$545,000",$354
241585966,2,2,"1,311",Condo,2017,Forced air,None,No Data,"$1,499,000","$1,143"
55398319,3,3,"2,242",Multi Family,1904,Forced air,None,No Data,"$449,000",$200
15160498,4,3.5,"1,879",Single Family,1959,Forced air,Central,Attached Garage,"$2,599,000","$1,383"
36741277,4,3,"1,968",Single Family,1972,Forced air,Central,5 spaces,"$334,900",$170
15084939,3,3.5,"2,120",Single Family,1953,Forced air,Central,No Data,"$1,995,000",$941
53737326,3,2,"1,796",Single Family,1999,"Forced air, Electric",Central,2 spaces,"$269,900",$150
7511296,3,1.75,"1,551",Single Family,1958,Other,Refrigeration,5 spaces,"$230,000",$148
104452024,2,2,"1,819",Condo,2009,Forced air,Central,2 spaces,"$499,900",$275
63012913,1,1,700,Condo,2004,Forced air,Central,No Data,"$220,000",$314
81928071,1,1,722,Condo,1986,Forced air,Central,1 space,"$219,900",$305
173560724,4,2,"1,343",Single Family,1963,"Forced air, Gas",Central,2 spaces,"$235,000",$175
20639953,2,1,"1,120",Single Family,1950,"Wall, Electric",None,1 space,"$370,000",$330
43701149,4,3,"3,754",Single Family,1991,"Forced air, Electric",Central,2 spaces,"$550,000",$147
36731431,3,3,"1,349",Single Family,1995,Heat pump,No Data,No Data,"$260,000",$193
92355228,--,--,"3,726",Multiple Occupancy,1985,"Wall, Electric",Central,No Data,"$1,050,000",$282
110749091,3,2,"1,664",Single Family,1952,"Forced air, Gas",Central,2 spaces,"$314,900",$189
110747725,4,2,"1,816",Single Family,1953,"Forced air, Gas",Central,2 spaces,"$324,900",$179
110709853,3,3,"2,878",Single Family,2019,"Forced air, Gas",Central,3 spaces,"$799,900",$278
20795689,1,1,693,Condo,1954,Forced air,Central,2 spaces,"$585,000",$844
62847505,6,5,"5,476",Single Family,2005,Forced air,Central,3 spaces,"$730,000",$133
70474031,3,3,"1,800",Condo,2002,"Forced air, Gas",Central,1 space,"$350,000",$194
26946434,3,2,"2,122",Single Family,1978,"Forced air, Gas",Central,2 spaces,"$319,000",$150
26906776,3,2,800,Single Family,1983,Forced air,Central,1 space,"$119,900",$150
26802262,3,2,864,Single Family,1954,Forced air,Other,2 spaces,"$160,000",$185
19557511,3,3,"1,424",Townhouse,1997,"Other, Electric",No Data,2 spaces,"$1,057,000",$742
122064249,2,1,"1,042",Condo,1897,Forced air,Central,Carport,"$1,025,000",$984
17017652,8,2,"1,435",Single Family,1955,No Data,Other,3 spaces,"$599,900",$418
2077681488,4,4,"2,111",Single Family,2020,"Forced air, Gas",Central,2 spaces,"$1,599,000",$757
110722988,4,3,"2,155",Single Family,1950,"Forced air, Gas",Central,2 spaces,"$369,000",$171
36718840,4,2,"1,380",Single Family,1976,"Heat pump, Electric",Central,2 spaces,"$265,000",$192
153249613,--,--,"2,248",Multiple Occupancy,1953,None,None,No Data,"$1,399,999",$623
84001081,4,2,"1,507",Single Family,2007,Forced air,Central,4 spaces,"$212,000",$141
65562967,3,2,"1,150",Condo,2003,"Forced air, Gas",Central,1 space,"$215,000",$187
110717248,3,2,"1,336",Single Family,1953,"Forced air, Gas",Central,1 space,"$234,900",$176
241585552,1,1,528,Condo,1951,No Data,No Data,No Data,"$775,000","$1,468"
125257061,3,2,"1,295",Condo,2012,Forced air,Central,2 spaces,"$250,000",$193
110718999,3,1,"1,586",Single Family,1950,"Forced air, Gas",Central,2 spaces,"$229,900",$145
79843055,1,1,658,Condo,1909,"None, Forced air",Wall,1 space,"$829,000","$1,260"
17016010,4,3,"1,710",Single Family,1997,Forced air,None,2 spaces,"$585,000",$342
448548,1,1,825,Condo,1957,Heat pump,No Data,No Data,"$300,000",$364
17016789,3,2,840,Single Family,1952,Forced air,Central,2 spaces,"$415,000",$494
7514658,--,--,"2,520",Multi Family,1988,Wall,None,1 space,"$369,000",$146
2078089792,1,1,--,Condo,1966,"Baseboard, Gas",No Data,1 space,"$93,300",
20639002,1,1,661,Single Family,1947,Heat pump,Central,No Data,"$559,998",$847
7519355,3,2,"1,438",Single Family,1954,"Other, Gas",Evaporative,6 spaces,"$340,000",$236
19580714,4,3,"1,325",Single Family,1951,"Forced air, Gas",Central,1 space,"$1,425,000","$1,075"
