house_id,home_type,roof_material,new_construction,major_remodel_year
19599072,Single Family,Composition,No,1947
20801358,Single Family,Composition,No,1962
82950285,Condo,Composition,No,2007
40472907,Single Family,,No,
36725918,Single Family,Other,No,
7505371,Single Family,Other,No,
452861,Single Family,Slate,No,
20642095,Multiple Occupancy,,No,
55144589,Single Family,Composition,No,1990
2077641307,Townhouse,,Yes,
83124292,Condo,Tile,No,
43691351,Single Family,Composition,No,1989
7511689,Single Family,Other,No,
82300060,Condo,,No,
36726977,Single Family,Shake / Shingle,No,2017
2078363717,Single Family,Tile,No,
3591973,Single Family,Shake / Shingle,No,
26994346,Single Family,Composition,No,1968
20802121,Single Family,Other,No,1975
110709652,Single Family,,No,1970
29336613,Single Family,Tile,No,
3593209,Single Family,Asphalt,No,
2091594414,Townhouse,,No,
81991571,Multiple Occupancy,Composition,No,1965
27338350,Single Family,Composition,No,1993
53737274,Single Family,Asphalt,No,2001
26802279,Single Family,Composition,No,1956
17016580,Single Family,,No,1931
60200173,Condo,,No,
69669981,Single Family,Composition,No,2005
26816620,Single Family,Composition,No,1956
20793195,Condo,,No,1964
70465537,Condo,,No,
20643834,Condo,,No,1982
110750322,Single Family,,No,1970
55406002,Condo,Asphalt,No,1998
7511108,Single Family,Other,No,
50903650,Single Family,Composition,No,2000
20691214,Single Family,,No,1944
15143256,Condo,,No,
251031652,Condo,Built-up,No,
55398332,Multiple Occupancy,Asphalt,No,1960
110700901,Single Family,,No,1980
70747509,Single Family,Asphalt,No,2005
20642448,Multiple Occupancy,,No,1959
63703850,Condo,Other,No,
19557711,Condo,Composition,No,1978
458775,Single Family,Slate,Yes,
118189181,Single Family,,Yes,
27323556,Single Family,Composition,No,1989
110704145,Single Family,,No,1960
61122517,Condo,,No,2006
71481806,Condo,Other,No,2007
27329279,Single Family,Composition,No,2019
20793210,Condo,Other,No,2015
2104378637,Condo,,No,
3591765,Single Family,Shake / Shingle,,
19600792,Condo,Shake / Shingle,No,1979
3860868,Single Family,Other,No,2003
17043835,Single Family,Composition,No,1980
241585966,Condo,,No,
55398319,Multiple Occupancy,Asphalt,No,1969
15160498,Single Family,,No,
36741277,Single Family,Shake / Shingle,No,
15084939,Single Family,,No,
53737326,Single Family,Shake / Shingle,No,1999
7511296,Single Family,Other,No,
104452024,Condo,Other,No,2009
63012913,Condo,,No,2006
81928071,Condo,Other,No,2005
173560724,Single Family,,No,
20639953,Single Family,,No,1950
43701149,Single Family,Composition,No,1991
36731431,Single Family,Shake / Shingle,No,
92355228,Multiple Occupancy,Composition,No,1985
110749091,Single Family,Shake / Shingle,No,2009
110747725,Single Family,,No,1970
110709853,Single Family,,No,2019
20795689,Condo,,No,1954
62847505,Single Family,Shake / Shingle,No,
70474031,Condo,,No,
26946434,Single Family,Composition,No,1978
26906776,Single Family,Composition,No,1983
26802262,Single Family,Composition,No,1954
19557511,Townhouse,Tile,No,1997
122064249,Condo,,No,
17017652,Single Family,,No,1955
2077681488,Single Family,Composition,No,
110722988,Single Family,,No,1970
36718840,Single Family,Shake / Shingle,No,
153249613,Multiple Occupancy,Composition,No,
