house_id,full_bathrooms,half_bathrooms,basement,flooring,appliances,total_interior_livable_area,fireplace
110701338,2,,"Partially Finished, Full, Block, Sump Pump",Hardwood,"Dryer, Range / Oven, Refrigerator, Washer","1,749 sqft",
17044483,2,,,Laminate,"Garbage disposal, Range / Oven","1,072 sqft",Yes
27330607,2,,,Carpet,"Dishwasher, Microwave","1,624 sqft",Yes
20794256,2,,,"Hardwood, Tile","Dishwasher, Dryer, Washer","1,949 sqft",Yes
125231582,1,,,"Tile, Concrete",Microwave,"1,100 sqft",
19579887,2,,Unfinished,Laminate,"Dishwasher, Garbage disposal, Microwave","1,512 sqft",
20801682,2,,,Hardwood,"Dishwasher, Dryer, Freezer, Garbage disposal, Refrigerator, Washer","1,300 sqft",Yes
7515527,,,,Linoleum / Vinyl,"Dishwasher, Range / Oven","24,888 sqft",
60270617,2,,,Hardwood,,"1,300 sqft",Yes
63703823,2,,,Hardwood,"Dryer, Washer","1,200 sqft",Yes
20788332,,,None,Laminate,"Dishwasher, Garbage disposal, Microwave, Range / Oven","1,255 sqft",Yes
61122203,1,,,Hardwood,"Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer",900 sqft,Yes
82291316,1,,,Other,"Dishwasher, Dryer, Microwave, Refrigerator, Washer",562 sqft,
94702669,3,,,"Tile, Carpet, Hardwood","Dishwasher, Dryer, Garbage disposal, Range / Oven, Refrigerator, Washer","1,548 sqft",Yes
62007666,1,,,Carpet,"Dryer, Range / Oven, Refrigerator, Washer",600 sqft,
7510715,,,,Tile,Range / Oven,"1,258 sqft",
2093019920,2,,,Hardwood,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",,
110755026,2,,"Partially Finished, Full, Shower",Hardwood,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","2,212 sqft",Wood Burning
26802165,1,,None,"Tile, Carpet, Hardwood","Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",840 sqft,
36744633,3,,Finished,Hardwood,"Dishwasher, Dryer, Refrigerator, Washer","4,000 sqft",Yes
43710140,2,,,"Tile, Hardwood","Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator","2,116 sqft",Yes
72652295,1,,,"Tile, Laminate","Dishwasher, Dryer, Garbage disposal, Microwave, Washer",550 sqft,Yes
49911608,2,,,"Carpet, Hardwood","Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",,Yes
96031440,,,,Hardwood,"Dryer, Washer",917 sqft,
